latency_ms,rssi_dbm,snr_db,band,channel_util%,num_assoc_devices,client_speed_mbps,ap_vendor,protocol,distance_m
47.5,-68,50,2.4 GHz,92,22,300,Aruba,n,19.2
126.6,-42,13,5 GHz,72,13,866,Ubiquiti,n,28.8
173.2,-77,25,5 GHz,92,22,866,TP‑Link,ac,8.3
36.5,-63,46,2.4 GHz,28,27,866,Aruba,n,16.6
174.9,-51,17,5 GHz,74,4,433,Aruba,ac,7.5
66.1,-71,15,2.4 GHz,61,22,300,Aruba,ac,8.7
275.4,-74,6,2.4 GHz,89,8,300,TP‑Link,n,19.1
163.6,-52,22,2.4 GHz,23,4,300,TP‑Link,ac,5.2
146.4,-86,29,2.4 GHz,2,8,150,TP‑Link,n,6.2
93.2,-76,28,5 GHz,40,27,150,Aruba,ac,8.8
415.3,-68,6,2.4 GHz,51,18,600,TP‑Link,ac,16.2
76.8,-79,15,5 GHz,57,14,150,Aruba,ax,28.9
53.6,-61,5,2.4 GHz,87,8,433,Cisco,n,21.1
67.5,-56,16,5 GHz,68,16,150,Ubiquiti,ac,20.3
192.8,-37,35,2.4 GHz,89,15,600,Cisco,ac,12.4
109.6,-57,5,2.4 GHz,73,12,300,Cisco,ac,4.5
99.7,-58,13,2.4 GHz,37,13,433,TP‑Link,ac,24.3
77.6,-51,32,5 GHz,81,21,866,Cisco,ac,3.1
96.5,-79,32,5 GHz,33,17,866,TP‑Link,n,22.7
74.3,-65,49,2.4 GHz,81,1,150,Aruba,ac,12.2
155.0,-45,33,2.4 GHz,70,11,150,Ubiquiti,ac,15.3
87.8,-81,51,2.4 GHz,22,2,433,Aruba,ac,16.6
68.3,-74,41,2.4 GHz,6,27,600,Cisco,ax,8.9
182.9,-78,32,2.4 GHz,88,10,866,Cisco,n,20.7
54.7,-38,24,5 GHz,78,28,300,Ubiquiti,n,9.8
110.5,-71,10,5 GHz,6,8,433,Ubiquiti,n,6.1
30.8,-73,40,2.4 GHz,25,11,72,Cisco,n,12.1
42.3,-46,51,5 GHz,48,12,600,Aruba,n,25.4
82.0,-40,23,5 GHz,52,27,433,Cisco,n,13.7
73.4,-90,22,2.4 GHz,38,3,433,Ubiquiti,ax,29.0
73.3,-42,9,5 GHz,20,23,150,Ubiquiti,n,3.0
164.5,-52,34,2.4 GHz,67,20,300,TP‑Link,ax,2.5
170.5,-43,20,2.4 GHz,73,7,72,TP‑Link,ac,27.1
124.2,-86,5,2.4 GHz,64,25,300,Aruba,ac,7.4
52.9,-88,5,2.4 GHz,95,17,300,Aruba,ac,8.1
96.1,-72,21,2.4 GHz,39,15,300,TP‑Link,ac,23.9
299.5,-44,28,5 GHz,54,11,866,TP‑Link,ac,7.1
390.2,-63,27,2.4 GHz,32,13,433,Aruba,ac,19.2
184.0,-51,42,2.4 GHz,95,24,866,Aruba,ax,3.3
54.2,-77,31,5 GHz,42,29,150,TP‑Link,ac,26.5
96.6,-72,44,5 GHz,40,26,866,Ubiquiti,ac,18.0
119.1,-42,19,5 GHz,74,10,433,Cisco,ac,14.6
108.3,-64,16,5 GHz,29,19,72,Ubiquiti,ac,12.2
196.0,-48,31,5 GHz,37,29,866,Aruba,ac,10.8
160.1,-55,10,5 GHz,84,19,72,TP‑Link,ax,9.4
52.4,-81,43,2.4 GHz,3,1,600,Ubiquiti,ac,29.3
69.3,-39,14,2.4 GHz,4,21,150,Aruba,ac,10.5
183.5,-38,50,2.4 GHz,86,17,600,Cisco,ac,8.7
234.0,-48,54,2.4 GHz,28,15,600,Cisco,ac,14.8
120.1,-65,31,2.4 GHz,78,2,72,Ubiquiti,n,9.2
252.0,-67,20,2.4 GHz,69,14,866,Ubiquiti,ac,9.6
111.7,-74,21,2.4 GHz,20,23,866,TP‑Link,ax,9.4
58.1,-55,26,2.4 GHz,19,17,300,Cisco,ac,5.9
151.2,-73,28,2.4 GHz,98,8,150,Ubiquiti,ax,26.8
497.9,-80,8,2.4 GHz,89,24,433,Cisco,ac,7.2
45.7,-87,14,5 GHz,26,13,600,Aruba,ac,2.6
246.2,-67,44,2.4 GHz,48,19,72,TP‑Link,n,23.8
146.0,-46,7,2.4 GHz,86,1,72,Cisco,ac,14.6
66.8,-47,27,2.4 GHz,25,5,433,Ubiquiti,ax,11.9
31.1,-44,48,5 GHz,66,6,150,Ubiquiti,ac,16.9
26.2,-57,9,5 GHz,37,5,866,Aruba,n,17.6
73.2,-43,51,2.4 GHz,88,13,433,Cisco,n,12.8
131.6,-47,28,5 GHz,29,13,433,TP‑Link,ac,25.8
175.4,-46,26,5 GHz,43,3,300,Ubiquiti,ac,25.6
200.8,-62,40,5 GHz,70,20,433,Ubiquiti,ac,12.2
124.5,-86,43,5 GHz,67,15,150,Aruba,ac,8.2
112.8,-70,28,2.4 GHz,11,12,300,Aruba,ac,15.6
83.7,-44,9,2.4 GHz,9,8,72,Cisco,n,6.4
133.6,-50,53,2.4 GHz,85,12,300,Cisco,ac,9.9
67.4,-90,5,2.4 GHz,76,5,600,TP‑Link,ac,12.7
47.1,-85,48,2.4 GHz,15,26,300,Cisco,ac,12.7
108.5,-54,26,5 GHz,65,15,72,Aruba,ac,7.0
167.2,-37,30,2.4 GHz,28,26,600,Aruba,ac,16.3
41.5,-50,43,2.4 GHz,41,25,150,Cisco,ac,19.2
73.2,-38,52,5 GHz,63,14,433,Ubiquiti,ac,19.1
106.0,-87,12,2.4 GHz,64,12,600,TP‑Link,ac,24.5
104.6,-42,45,2.4 GHz,36,21,150,Aruba,ax,4.2
143.6,-83,38,2.4 GHz,83,12,150,Cisco,ac,6.4
294.3,-42,23,2.4 GHz,51,14,433,TP‑Link,ac,14.2
26.3,-37,26,2.4 GHz,81,12,300,TP‑Link,ac,15.5
302.4,-62,43,2.4 GHz,57,18,72,TP‑Link,ac,7.8
286.2,-61,12,2.4 GHz,36,2,72,Ubiquiti,ax,10.4
177.2,-63,30,2.4 GHz,26,8,72,Aruba,n,6.5
118.7,-60,41,5 GHz,2,20,150,Cisco,n,17.2
68.3,-45,31,2.4 GHz,53,15,72,Cisco,n,15.4
175.8,-75,27,2.4 GHz,56,21,600,Ubiquiti,ac,21.3
122.5,-75,31,2.4 GHz,93,19,866,Cisco,ac,19.7
84.8,-37,30,5 GHz,26,10,600,Aruba,n,9.6
173.0,-44,45,5 GHz,1,13,150,Cisco,ax,23.3
191.8,-61,46,2.4 GHz,89,3,300,Ubiquiti,ac,6.3
232.9,-79,50,5 GHz,60,23,866,Aruba,ax,19.7
63.7,-38,8,2.4 GHz,5,13,72,Ubiquiti,ac,19.4
214.6,-42,20,5 GHz,32,8,300,Cisco,ac,8.6
85.8,-72,48,5 GHz,97,16,300,TP‑Link,ax,7.5
118.9,-61,37,2.4 GHz,86,1,300,Cisco,ax,5.0
133.7,-67,23,2.4 GHz,55,13,866,Aruba,ac,19.4
203.9,-44,36,2.4 GHz,10,27,600,TP‑Link,n,12.2
162.2,-53,28,5 GHz,65,12,866,Cisco,n,30.0
83.9,-63,49,2.4 GHz,7,11,150,Aruba,n,19.8
27.6,-37,32,2.4 GHz,39,14,72,TP‑Link,n,2.3
142.5,-57,27,5 GHz,41,8,866,Aruba,ac,12.5
115.8,-64,36,2.4 GHz,77,7,72,Cisco,ac,2.4
45.3,-40,14,5 GHz,67,14,433,Cisco,ac,19.5
124.6,-66,43,2.4 GHz,48,20,866,Aruba,ax,27.7
105.2,-67,15,5 GHz,1,8,72,Cisco,ac,22.9
231.5,-69,6,5 GHz,2,7,433,Ubiquiti,ax,9.4
315.3,-78,7,2.4 GHz,81,22,866,TP‑Link,ax,7.0
188.9,-75,8,2.4 GHz,65,15,866,TP‑Link,ac,26.6
101.4,-85,10,2.4 GHz,34,9,150,Aruba,ac,5.3
111.3,-50,7,5 GHz,75,25,150,Ubiquiti,ax,21.9
62.3,-58,20,2.4 GHz,92,29,150,TP‑Link,ac,8.8
69.8,-39,53,5 GHz,2,25,433,TP‑Link,ac,10.4
97.7,-57,10,5 GHz,90,9,866,Aruba,ac,3.3
91.3,-86,38,5 GHz,25,29,866,Cisco,ac,6.8
43.8,-56,48,2.4 GHz,76,11,150,Cisco,ax,3.1
233.0,-81,45,2.4 GHz,59,3,433,TP‑Link,n,16.6
253.4,-88,23,2.4 GHz,73,16,600,Ubiquiti,ac,14.6
228.4,-54,7,2.4 GHz,12,28,600,Cisco,ax,16.9
258.7,-89,23,2.4 GHz,60,1,72,Cisco,ac,3.8
372.4,-68,35,2.4 GHz,96,1,866,Cisco,n,24.6
63.0,-41,42,5 GHz,79,1,866,Aruba,ac,5.5
362.5,-76,12,2.4 GHz,80,25,433,Cisco,n,25.3
83.6,-52,20,2.4 GHz,18,7,300,TP‑Link,ac,11.0
156.1,-70,35,2.4 GHz,28,15,600,Ubiquiti,ax,14.4
38.0,-84,40,5 GHz,81,3,150,TP‑Link,ac,20.3
76.9,-80,20,5 GHz,40,28,150,Aruba,ax,19.0
192.2,-86,46,2.4 GHz,56,23,866,Aruba,n,17.8
160.8,-82,45,2.4 GHz,17,17,300,Ubiquiti,ac,13.2
82.5,-82,23,2.4 GHz,78,26,600,Ubiquiti,ac,15.4
111.2,-42,31,5 GHz,45,6,300,Cisco,n,3.8
71.8,-46,28,2.4 GHz,49,12,600,Aruba,ax,6.5
191.9,-71,38,2.4 GHz,95,29,600,Cisco,n,22.5
242.7,-51,21,5 GHz,63,15,433,Ubiquiti,ax,20.8
63.2,-79,21,2.4 GHz,44,9,300,TP‑Link,n,11.4
104.2,-55,26,2.4 GHz,34,18,600,Cisco,ax,24.2
42.8,-79,15,2.4 GHz,60,28,150,TP‑Link,ax,24.6
122.2,-55,34,5 GHz,43,3,150,Aruba,ax,16.8
146.0,-71,52,2.4 GHz,23,29,72,Ubiquiti,ac,29.4
128.6,-43,22,5 GHz,37,14,433,Cisco,ac,9.5
138.9,-45,48,5 GHz,29,3,433,Aruba,ac,10.3
97.3,-72,28,5 GHz,74,28,300,TP‑Link,ac,2.3
98.8,-88,13,2.4 GHz,50,17,600,Cisco,n,6.2
95.9,-73,29,2.4 GHz,20,7,300,Aruba,n,24.9
75.4,-75,29,5 GHz,15,6,150,TP‑Link,ac,19.6
81.5,-67,6,5 GHz,93,3,72,TP‑Link,ac,7.3
141.8,-59,28,5 GHz,89,16,866,Cisco,ac,21.0
233.1,-36,13,5 GHz,83,9,600,TP‑Link,ac,6.6
56.4,-87,44,5 GHz,73,10,300,TP‑Link,ac,13.4
98.5,-60,32,2.4 GHz,86,16,150,Aruba,ac,29.9
49.3,-81,20,2.4 GHz,65,28,433,Ubiquiti,ax,10.9
76.3,-60,5,2.4 GHz,91,26,300,TP‑Link,n,21.0
84.6,-55,33,2.4 GHz,91,4,300,Ubiquiti,ac,2.2
116.9,-46,40,2.4 GHz,44,11,433,TP‑Link,n,10.4
114.8,-60,26,2.4 GHz,25,7,150,Ubiquiti,n,10.6
103.6,-81,50,2.4 GHz,89,10,72,Ubiquiti,ac,25.5
134.7,-40,14,2.4 GHz,82,27,72,Aruba,ac,6.8
59.8,-68,42,5 GHz,44,10,300,Cisco,ac,11.0
117.5,-64,29,5 GHz,90,19,600,TP‑Link,ac,6.6
163.6,-55,20,2.4 GHz,11,25,150,TP‑Link,ac,15.3
59.3,-76,19,5 GHz,82,8,866,Ubiquiti,ac,9.6
34.2,-36,27,2.4 GHz,5,14,72,Ubiquiti,n,7.0
190.9,-88,9,2.4 GHz,11,24,866,Cisco,n,14.1
50.3,-82,37,2.4 GHz,7,10,600,Aruba,n,15.2
74.0,-36,25,2.4 GHz,8,20,72,TP‑Link,n,10.7
160.7,-66,39,2.4 GHz,19,6,433,TP‑Link,ac,29.1
57.5,-41,30,5 GHz,36,27,600,Aruba,ac,6.1
182.9,-41,53,2.4 GHz,36,4,300,Aruba,n,22.0
67.4,-36,9,5 GHz,42,20,866,Aruba,n,16.8
62.3,-51,29,2.4 GHz,97,29,72,Ubiquiti,n,12.8
49.5,-53,31,2.4 GHz,51,5,433,Ubiquiti,n,20.9
67.7,-57,17,5 GHz,24,15,433,TP‑Link,n,6.3
147.6,-53,38,5 GHz,14,28,433,Cisco,n,28.0
74.0,-76,23,2.4 GHz,91,3,150,Ubiquiti,ac,25.3
191.4,-46,43,5 GHz,28,9,300,TP‑Link,ac,22.8
106.2,-80,51,2.4 GHz,81,27,72,TP‑Link,ac,28.8
112.1,-64,47,5 GHz,79,4,72,TP‑Link,n,28.3
61.1,-70,36,5 GHz,86,28,433,Aruba,ac,7.7
209.0,-49,40,2.4 GHz,15,22,600,TP‑Link,ac,26.8
164.5,-76,48,2.4 GHz,78,7,600,TP‑Link,ac,24.2
161.6,-79,54,5 GHz,78,7,866,Cisco,n,14.1
93.8,-46,41,2.4 GHz,97,10,72,Ubiquiti,ax,16.9
45.9,-64,50,5 GHz,71,16,300,Aruba,n,17.7
115.9,-51,53,2.4 GHz,12,28,72,TP‑Link,ax,16.5
143.8,-42,13,2.4 GHz,46,23,300,Cisco,ac,13.9
144.7,-45,30,2.4 GHz,48,1,600,Cisco,n,19.4
132.9,-69,22,5 GHz,47,18,433,Aruba,n,25.1
129.5,-81,52,2.4 GHz,34,10,150,Aruba,n,28.7
67.1,-38,42,2.4 GHz,80,16,72,Cisco,ac,20.6
69.2,-73,49,2.4 GHz,29,13,72,TP‑Link,ax,28.5
49.8,-48,22,5 GHz,45,18,300,Cisco,ax,29.0
192.8,-48,47,2.4 GHz,45,23,866,Cisco,ax,20.2
306.5,-66,9,2.4 GHz,64,7,300,TP‑Link,n,9.9
492.2,-82,51,2.4 GHz,48,11,150,TP‑Link,ac,16.5
120.9,-65,16,2.4 GHz,97,2,150,TP‑Link,ac,27.3
129.8,-82,31,2.4 GHz,98,10,600,Ubiquiti,n,5.6
96.2,-71,40,2.4 GHz,46,29,150,Ubiquiti,n,22.8
119.7,-69,42,5 GHz,27,22,600,Aruba,n,28.5
57.4,-62,15,5 GHz,76,20,72,TP‑Link,ac,22.1
95.0,-80,32,2.4 GHz,91,25,150,Cisco,ac,28.5
62.6,-44,31,2.4 GHz,88,17,150,Ubiquiti,n,22.2
87.5,-86,43,5 GHz,17,3,300,Ubiquiti,n,29.6
65.9,-36,21,2.4 GHz,6,20,300,TP‑Link,n,28.9
143.8,-73,43,2.4 GHz,66,5,433,Aruba,ac,19.6
155.1,-64,35,5 GHz,30,6,150,TP‑Link,ac,18.8
127.3,-42,42,2.4 GHz,31,20,150,Ubiquiti,ac,27.1
69.4,-55,48,2.4 GHz,3,27,433,Ubiquiti,ac,23.6
47.8,-87,26,5 GHz,96,10,150,Cisco,n,18.7
156.2,-57,26,2.4 GHz,1,9,866,TP‑Link,ac,22.0
105.9,-59,44,5 GHz,63,20,866,Cisco,n,4.0
33.5,-39,44,2.4 GHz,92,10,150,Cisco,ac,28.7
115.3,-60,48,2.4 GHz,7,6,150,Cisco,ac,13.9
130.3,-36,32,5 GHz,61,7,866,Cisco,n,4.5
39.2,-61,36,5 GHz,92,24,600,Aruba,ac,12.6
145.4,-80,7,5 GHz,41,18,300,Ubiquiti,n,16.4
42.5,-63,27,2.4 GHz,30,10,433,Ubiquiti,ac,29.9
64.8,-40,17,5 GHz,70,29,150,Ubiquiti,ac,18.8
42.7,-90,47,2.4 GHz,92,10,433,TP‑Link,n,3.3
60.7,-69,11,2.4 GHz,56,20,866,TP‑Link,ac,4.0
48.0,-88,43,5 GHz,2,6,300,Cisco,n,13.4
192.0,-44,46,2.4 GHz,68,28,300,Ubiquiti,n,26.2
90.7,-62,28,2.4 GHz,22,7,433,Cisco,n,12.1
79.1,-51,38,5 GHz,98,13,600,Ubiquiti,n,29.6
203.3,-37,33,5 GHz,28,18,433,TP‑Link,n,2.4
196.9,-45,39,2.4 GHz,64,16,300,Aruba,n,17.3
83.1,-68,39,2.4 GHz,69,17,300,Cisco,ac,29.3
125.8,-39,17,5 GHz,45,23,72,Ubiquiti,ax,15.5
72.7,-65,39,2.4 GHz,79,24,600,Cisco,ax,16.2
99.4,-37,50,2.4 GHz,89,10,300,TP‑Link,ax,10.9
53.1,-36,20,2.4 GHz,63,19,866,TP‑Link,ac,24.4
137.2,-78,20,2.4 GHz,75,17,300,Aruba,ac,28.0
208.2,-48,19,2.4 GHz,7,13,150,Cisco,n,14.0
186.2,-52,50,5 GHz,24,15,866,Aruba,ax,27.6
109.0,-48,49,5 GHz,43,24,72,Aruba,n,5.9
32.0,-81,22,2.4 GHz,13,20,600,Aruba,ac,20.9
70.7,-63,51,2.4 GHz,49,1,600,Aruba,ac,10.6
99.3,-82,43,5 GHz,8,2,150,Cisco,ax,5.0
44.5,-41,25,2.4 GHz,36,21,150,Aruba,n,19.3
40.3,-42,46,5 GHz,7,16,150,Aruba,n,17.2
243.7,-59,50,2.4 GHz,42,16,866,Aruba,ac,17.9
173.0,-83,48,5 GHz,41,25,300,Cisco,ac,22.7
143.8,-54,28,2.4 GHz,48,7,72,Aruba,ac,15.3
160.9,-66,15,5 GHz,99,8,300,Ubiquiti,n,12.7
48.9,-47,13,5 GHz,55,19,72,Cisco,ax,22.8
59.5,-85,46,2.4 GHz,15,23,433,TP‑Link,ac,22.3
121.1,-68,41,5 GHz,63,29,150,Ubiquiti,ax,16.8
127.0,-71,40,2.4 GHz,97,27,150,Ubiquiti,ax,19.4
43.0,-38,7,2.4 GHz,21,11,72,Aruba,ax,16.2
115.9,-74,53,5 GHz,8,6,72,Cisco,ac,19.5
100.5,-36,10,5 GHz,90,19,600,TP‑Link,ac,13.2
182.5,-40,34,2.4 GHz,18,6,866,Aruba,ac,24.8
127.4,-58,52,2.4 GHz,82,13,300,Aruba,ac,21.8
260.9,-81,17,2.4 GHz,43,9,72,TP‑Link,ac,22.0
83.4,-78,30,2.4 GHz,78,12,866,Aruba,ac,29.5
50.8,-90,47,2.4 GHz,71,26,300,TP‑Link,n,16.1
256.7,-48,18,2.4 GHz,80,9,300,Aruba,n,28.6
131.5,-51,10,2.4 GHz,76,25,600,Ubiquiti,n,13.1
100.8,-73,29,5 GHz,53,7,600,TP‑Link,ac,27.5
60.9,-50,44,5 GHz,25,9,600,Aruba,ac,17.8
84.0,-59,33,5 GHz,95,7,600,Cisco,n,18.0
81.3,-46,27,2.4 GHz,19,22,72,Cisco,ac,26.5
49.5,-86,36,2.4 GHz,37,23,150,Cisco,ax,28.7
27.9,-80,7,2.4 GHz,28,2,600,Ubiquiti,n,7.6
80.1,-46,22,2.4 GHz,42,10,866,Ubiquiti,ax,5.6
163.4,-70,48,2.4 GHz,25,28,433,Cisco,n,23.8
219.1,-38,24,2.4 GHz,81,16,300,Aruba,ac,12.0
186.9,-42,53,5 GHz,44,6,866,Cisco,ax,5.9
193.6,-85,32,5 GHz,87,7,433,Ubiquiti,n,8.5
53.0,-68,51,2.4 GHz,4,14,72,TP‑Link,ax,11.8
122.5,-50,36,2.4 GHz,45,7,300,Cisco,ac,23.6
144.4,-83,25,5 GHz,58,13,866,TP‑Link,ax,4.1
150.1,-43,51,5 GHz,84,18,300,Ubiquiti,n,16.2
99.5,-85,18,2.4 GHz,73,14,433,Cisco,n,2.5
113.5,-84,24,5 GHz,63,17,72,TP‑Link,ac,21.6
183.5,-61,41,2.4 GHz,84,2,433,TP‑Link,ac,29.0
141.3,-77,48,5 GHz,39,15,150,Cisco,ac,12.0
157.5,-55,14,5 GHz,95,2,72,Ubiquiti,ac,27.8
77.8,-69,54,2.4 GHz,90,21,866,Cisco,n,26.8
152.5,-76,26,2.4 GHz,90,16,300,Aruba,ac,11.8
112.6,-44,21,5 GHz,50,19,600,Ubiquiti,ac,7.8
172.4,-82,11,2.4 GHz,10,10,600,Aruba,n,11.2
67.1,-63,6,5 GHz,85,6,866,Aruba,ac,27.6
163.9,-81,32,2.4 GHz,42,20,300,TP‑Link,ac,13.9
84.7,-83,35,5 GHz,81,2,600,Cisco,ac,16.0
164.4,-79,9,5 GHz,6,15,866,TP‑Link,n,6.1
123.0,-76,50,5 GHz,10,8,433,Cisco,n,8.4
107.5,-68,32,2.4 GHz,35,11,433,Cisco,ac,27.9
87.6,-65,7,2.4 GHz,87,13,866,Aruba,ac,27.6
101.1,-83,47,2.4 GHz,4,14,300,Cisco,ac,10.3
80.2,-88,14,2.4 GHz,17,7,433,TP‑Link,n,21.6
86.5,-85,38,2.4 GHz,50,4,600,Aruba,ac,21.2
139.0,-56,38,2.4 GHz,81,14,866,Aruba,n,13.8
36.2,-37,45,5 GHz,16,9,600,Ubiquiti,ac,22.0
163.0,-89,45,5 GHz,75,2,300,Ubiquiti,n,27.1
164.7,-89,54,5 GHz,49,25,600,Aruba,ac,23.7
89.2,-48,9,5 GHz,73,14,433,Cisco,ac,17.4
115.3,-51,23,5 GHz,72,3,300,Cisco,ac,19.8
57.0,-50,23,2.4 GHz,92,11,300,TP‑Link,n,25.5
133.5,-81,23,2.4 GHz,6,4,600,Ubiquiti,ax,23.0
61.4,-43,16,5 GHz,60,28,72,Ubiquiti,n,28.3
22.3,-56,16,5 GHz,46,15,866,Ubiquiti,ac,25.5
214.0,-82,53,5 GHz,34,26,150,Cisco,ac,3.6
53.3,-84,49,2.4 GHz,74,10,600,Ubiquiti,ax,22.1
99.8,-57,39,5 GHz,59,28,866,Ubiquiti,ax,5.7
118.0,-48,32,2.4 GHz,44,28,150,Cisco,n,25.3
138.8,-48,28,2.4 GHz,69,20,433,Aruba,ax,4.8
105.3,-58,39,2.4 GHz,57,13,433,Ubiquiti,n,10.1
124.5,-62,48,2.4 GHz,37,29,72,Aruba,ac,10.8
87.9,-52,26,2.4 GHz,34,17,433,TP‑Link,n,28.1
39.7,-83,31,5 GHz,26,6,866,Cisco,ac,29.7
102.8,-70,50,2.4 GHz,30,3,866,TP‑Link,ac,17.1
150.6,-85,50,5 GHz,49,16,866,Aruba,ax,16.6
55.3,-44,16,2.4 GHz,18,8,300,Ubiquiti,n,17.1
118.8,-57,16,2.4 GHz,89,22,600,Cisco,ac,19.9
292.9,-48,15,2.4 GHz,58,16,150,Ubiquiti,ac,3.9
98.7,-63,6,2.4 GHz,63,14,150,Cisco,ac,10.3
101.8,-39,39,2.4 GHz,57,9,866,Aruba,ax,19.1
38.0,-39,26,2.4 GHz,89,7,150,Cisco,n,8.6
51.5,-57,6,2.4 GHz,82,6,600,Cisco,n,19.1
61.8,-45,15,2.4 GHz,48,19,866,Ubiquiti,ac,27.2
147.0,-54,31,2.4 GHz,35,23,433,TP‑Link,ac,23.5
57.5,-51,46,2.4 GHz,94,29,72,Ubiquiti,ax,16.9
131.8,-77,38,2.4 GHz,60,20,866,Ubiquiti,n,9.8
65.3,-36,31,2.4 GHz,79,16,150,TP‑Link,n,13.5
38.8,-80,14,2.4 GHz,14,21,866,TP‑Link,n,4.4
158.0,-52,19,5 GHz,36,8,72,Aruba,ac,6.1
81.8,-57,44,2.4 GHz,27,26,300,TP‑Link,n,30.0
139.4,-85,43,5 GHz,45,2,600,Ubiquiti,n,27.7
38.1,-48,48,5 GHz,50,27,72,Cisco,ax,19.3
26.8,-86,31,2.4 GHz,99,4,300,Ubiquiti,ac,19.6
112.0,-62,18,5 GHz,11,28,866,TP‑Link,ax,9.9
50.4,-46,30,5 GHz,95,23,866,Ubiquiti,n,13.0
111.0,-84,49,5 GHz,81,13,433,Aruba,n,7.7
112.5,-71,14,5 GHz,41,15,600,TP‑Link,ac,28.6
103.9,-63,47,2.4 GHz,28,9,600,TP‑Link,n,24.8
192.6,-40,54,2.4 GHz,83,7,866,Aruba,ax,10.2
130.4,-69,45,2.4 GHz,14,10,300,Cisco,ax,12.2
292.7,-84,37,5 GHz,91,25,150,Ubiquiti,ac,2.3
83.2,-83,25,2.4 GHz,94,8,866,TP‑Link,ax,9.5
45.0,-80,47,2.4 GHz,25,13,300,Aruba,ax,9.4
68.0,-43,13,5 GHz,56,20,433,TP‑Link,ac,6.3
86.3,-48,42,2.4 GHz,52,24,433,TP‑Link,n,27.6
307.9,-68,25,2.4 GHz,76,9,600,Cisco,n,2.6
107.5,-44,30,2.4 GHz,75,24,866,Cisco,n,17.7
197.1,-40,28,2.4 GHz,99,6,300,Ubiquiti,ac,13.7
79.0,-43,5,2.4 GHz,8,21,300,Cisco,ac,13.2
73.2,-90,54,2.4 GHz,81,4,866,Cisco,ac,6.2
37.3,-85,38,5 GHz,80,29,150,Ubiquiti,ac,24.2
301.9,-51,35,2.4 GHz,74,3,433,Ubiquiti,ac,11.1
237.8,-70,10,2.4 GHz,21,27,433,TP‑Link,n,21.2
119.5,-82,43,5 GHz,74,23,300,Ubiquiti,ac,10.8
89.5,-55,53,2.4 GHz,48,4,433,TP‑Link,n,27.4
110.1,-71,45,2.4 GHz,28,23,600,Cisco,ac,8.4
44.0,-40,17,2.4 GHz,38,10,150,Cisco,ac,25.3
139.3,-59,14,5 GHz,42,29,150,Ubiquiti,n,22.8
225.8,-77,23,2.4 GHz,74,28,300,Aruba,ac,26.4
232.8,-39,6,5 GHz,20,27,866,Aruba,n,29.6
38.1,-57,32,5 GHz,24,20,300,Aruba,ac,18.2
195.9,-74,27,5 GHz,37,27,300,Ubiquiti,ac,22.4
44.2,-83,30,2.4 GHz,47,13,300,Ubiquiti,ac,18.0
27.5,-60,54,5 GHz,94,2,600,TP‑Link,ac,27.0
200.5,-49,37,2.4 GHz,27,26,72,Aruba,n,19.3
75.1,-45,25,2.4 GHz,90,2,433,TP‑Link,ac,25.7
183.4,-83,44,2.4 GHz,6,19,433,Aruba,n,9.4
173.5,-67,23,2.4 GHz,51,16,150,Aruba,ax,3.3
160.2,-36,42,5 GHz,84,11,150,Cisco,ac,4.8
109.2,-54,51,2.4 GHz,31,22,600,Aruba,ax,20.3
47.0,-85,50,2.4 GHz,23,8,72,Aruba,ac,25.4
86.4,-40,30,2.4 GHz,60,27,150,Aruba,n,8.8
235.2,-53,28,2.4 GHz,24,25,300,Aruba,ac,18.5
186.3,-65,24,5 GHz,2,27,72,TP‑Link,ac,16.7
89.3,-48,31,2.4 GHz,5,25,72,Ubiquiti,ac,20.4
88.6,-55,51,5 GHz,48,24,433,Ubiquiti,ac,8.5
151.5,-76,48,2.4 GHz,50,27,433,Ubiquiti,ac,8.2
114.2,-47,35,5 GHz,3,27,866,Ubiquiti,ac,23.8
92.2,-76,19,5 GHz,27,23,433,Aruba,ac,3.4
143.8,-78,23,2.4 GHz,75,24,72,Ubiquiti,n,21.4
140.8,-58,17,5 GHz,56,6,433,Aruba,ac,4.0
69.1,-89,14,2.4 GHz,61,6,72,Ubiquiti,ac,4.9
128.5,-56,5,2.4 GHz,72,12,72,Ubiquiti,ac,8.8
135.6,-60,43,2.4 GHz,90,11,150,Ubiquiti,n,11.6
104.1,-51,41,2.4 GHz,5,10,72,Aruba,ax,29.6
64.6,-82,13,5 GHz,48,9,866,Aruba,ac,14.8
84.8,-59,39,5 GHz,20,8,433,TP‑Link,n,14.0
56.9,-66,13,2.4 GHz,67,17,433,Ubiquiti,ax,23.6
130.7,-81,18,5 GHz,39,24,72,Cisco,ac,9.6
38.2,-66,17,2.4 GHz,16,24,72,Aruba,ac,18.7
250.2,-40,11,2.4 GHz,88,4,72,Aruba,ax,21.6
219.4,-45,41,5 GHz,52,16,433,Ubiquiti,ac,26.0
137.6,-81,7,2.4 GHz,11,14,600,Cisco,n,5.4
179.7,-44,25,5 GHz,23,24,433,Aruba,n,20.3
172.4,-59,29,2.4 GHz,74,26,150,Cisco,n,2.1
115.3,-88,33,2.4 GHz,47,10,150,TP‑Link,ac,15.9
93.8,-40,14,2.4 GHz,95,23,300,Cisco,n,12.1
87.3,-62,28,2.4 GHz,5,18,300,Cisco,n,24.8
255.9,-40,44,2.4 GHz,8,8,72,Aruba,ac,22.4
63.2,-85,23,2.4 GHz,69,17,300,Cisco,n,21.4
